STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,PRICE_TYPE,REGION,BREAKDOWN_CATEGORY,BREAKDOWN,SECTOR_ECONOMY,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2022,1194
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2023,1541
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2024,1400
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2010,361
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2011,501
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2012,728
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2013,200
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2014,341
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2015,188
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2016,929
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2017,137
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2018,784
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2019,1500
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2020,1447
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2021,1544
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2022,1416
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2023,2117
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2024,2171
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2010,29.5
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2011,34.3
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2012,38.6
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2013,39.1
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2014,42.1
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2015,68.6
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2016,74.9
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2017,77.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2018,82.6
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2019,83.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2020,89.4
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2021,100
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2022,118.6
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2023,137.4
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2024,155.1
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2011,116.5
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2012,112.5
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2013,101.1
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2014,107.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2015,163
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2016,109.2
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2017,103.9
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2018,106.1
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2019,101.4
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2020,106.7
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2021,111.9
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2022,118.6
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2023,115.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_DEFLATOR_PY,UA00000000000000000,_T,_T,S_1,A,2024,112.9
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2010,79.3
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2011,94.5
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2012,122
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2013,33.2
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2014,52.5
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2015,17.7
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2016,80.3
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2017,11.4
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2018,61.5
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2019,115.9
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2020,104.9
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2021,100
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2022,77.3
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2023,99.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_2021,UA00000000000000000,_T,_T,S_1,A,2024,90.7
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2011,119.1
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2012,129.1
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2013,27.2
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2014,158.2
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2015,33.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2016,452.6
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2017,14.2
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2018,539.2
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2019,188.6
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2020,90.4
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2021,95.4
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2022,77.3
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2023,129.1
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,IDX_VOL_PY,UA00000000000000000,_T,_T,S_1,A,2024,90.9
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2010,326
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2011,430
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2012,647
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2013,198
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2014,316
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2015,115
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2016,852
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2017,132
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2018,738
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2019,1478
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2020,1357
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2021,1380
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2022,1194
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2023,1827
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,PRICES_PY,UA00000000000000000,_T,_T,S_1,A,2024,1924
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2010,384709
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2011,375466
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2012,381537
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2013,355723
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2014,416134
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2015,460957
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2016,465496
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2017,478048
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2018,475343
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2019,440206
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2020,445387
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2021,428846
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2022,807834
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2023,944710
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2024,887051
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2010,72250
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2011,78104
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2012,87352
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2013,88082
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2014,113202
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2015,155456
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2016,192066
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2017,258141
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2018,324321
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2019,348065
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2020,388242
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2021,428846
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2022,1546826
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2023,2237696
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,CURR_PRICES,UA00000000000000000,_T,_T,S_1,A,2024,2259879
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2010,18.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2011,20.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2012,22.9
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2013,24.8
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2014,27.2
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2015,33.7
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,COL_CON_GOV,IDX_DEFLATOR_2021,UA00000000000000000,_T,_T,S_1,A,2016,41.3
