STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,BASE_PERIOD,REGION,BREAKDOWN_CATEGORY,BREAKDOWN,NACE,COST_DIRECTION,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_4,_T,A,2025,34687
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_5,_T,A,2019,41
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_5,_T,A,2020,451
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_5,_T,A,2021,5862
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_5,_T,A,2022,1327
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_5,_T,A,2023,2683
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_5,_T,A,2025,24924
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_6,_T,A,2019,8846
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_6,_T,A,2020,9905
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_6,_T,A,2021,24379
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_6,_T,A,2022,1916
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_6,_T,A,2023,15982
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_6,_T,A,2024,9180
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_6,_T,A,2025,8931
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_7,_T,A,,
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02,_T,A,2019,27386
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02,_T,A,2021,25706
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02,_T,A,2022,36357
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02,_T,A,2025,105848
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_1,_T,A,2019,4477
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_1,_T,A,2020,1686
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_1,_T,A,2021,6633
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_1,_T,A,2023,193355
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_1,_T,A,2024,142127
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_1,_T,A,2025,101753
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_2,_T,A,2019,22833
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_2,_T,A,2020,9794
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_2,_T,A,2021,19050
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_2,_T,A,2022,25869
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_2,_T,A,2023,841
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_2,_T,A,2024,3092
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_2,_T,A,2025,4095
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_3,_T,A,,
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,02_4,_T,A,,
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,03,_T,A,2019,15
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,03,_T,A,2021,1972
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,03,_T,A,2022,52
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,03,_T,A,2025,1143
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,03_1,_T,A,,
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,03_2,_T,A,,
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05,_T,A,2019,26139
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05,_T,A,2020,8641
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05,_T,A,2021,32126
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05,_T,A,2022,138676
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05,_T,A,2023,54907
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05,_T,A,2024,93999
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05,_T,A,2025,42101
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05_1,_T,A,2020,8641
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05_1,_T,A,2021,32126
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05_1,_T,A,2022,138676
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05_1,_T,A,2023,54907
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05_1,_T,A,2024,93999
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05_1,_T,A,2025,42101
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,05_2,_T,A,,
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06,_T,A,2019,726969
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06,_T,A,2020,256226
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06,_T,A,2021,1129254
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06,_T,A,2022,88459
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06,_T,A,2023,662050
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06,_T,A,2024,2480381
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06,_T,A,2025,908664
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06_1,_T,A,2019,65346
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06_1,_T,A,2020,72247
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06_2,_T,A,2019,661623
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,06_2,_T,A,2020,183979
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07,_T,A,2019,633841
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07,_T,A,2020,403772
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07,_T,A,2021,244626
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07,_T,A,2022,33200
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07,_T,A,2023,120600
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07,_T,A,2024,171002
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07,_T,A,2025,265284
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_1,_T,A,2019,129316
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_1,_T,A,2020,87191
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_1,_T,A,2021,179675
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_1,_T,A,2022,32209
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_1,_T,A,2023,7524
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_1,_T,A,2024,33980
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_1,_T,A,2025,10717
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_2,_T,A,2019,504525
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_2,_T,A,2020,316581
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_2,_T,A,2021,64951
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_2,_T,A,2022,991
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_2,_T,A,2023,113076
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_2,_T,A,2024,137022
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,07_2,_T,A,2025,254567
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08,_T,A,2019,109880
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08,_T,A,2020,172765
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08,_T,A,2021,130668
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08,_T,A,2022,17515
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08,_T,A,2023,22056
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08,_T,A,2024,93458
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08,_T,A,2025,194955
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_1,_T,A,2019,100085
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_1,_T,A,2020,167748
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_1,_T,A,2021,117042
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_1,_T,A,2022,15355
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_1,_T,A,2023,14508
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_1,_T,A,2024,80239
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_1,_T,A,2025,183148
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_9,_T,A,2019,9795
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_9,_T,A,2020,5017
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_9,_T,A,2021,13626
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_9,_T,A,2022,2160
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_9,_T,A,2023,7548
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_9,_T,A,2024,13219
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,08_9,_T,A,2025,11807
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,09,_T,A,2019,1013
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,09,_T,A,2020,1022
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,09,_T,A,2021,8333
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,09,_T,A,2022,13668
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,09,_T,A,2023,20705
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,09,_T,A,2024,15920
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,09,_T,A,2025,10382
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,09_1,_T,A,2019,785
