STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,PERIOD_OF_TIME,SEX,REGION,BREAKDOWN_CATEGORY,BREAKDOWN,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,TERT_EQ,A,2020,58.84
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,_T,A,2016,29.65
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,_T,A,2020,70.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_1000_4999,A,2016,31.39
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_1000_4999,A,2020,78.56
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_100_499,A,2016,28.99
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_100_499,A,2020,69.07
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_10_49,A,2016,25.68
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_10_49,A,2020,57.17
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_5000_MORE,A,2016,34.75
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_5000_MORE,A,2020,83.64
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_500_999,A,2016,29.5
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_500_999,A,2020,70.52
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_50_99,A,2016,28.88
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_50_99,A,2020,66.74
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_UNDER_10,A,2016,27.57
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,SZE_UNDER_10,A,2020,56.09
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,_T,A,2016,29.65
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ENTERPRISE_SIZE,_T,A,2020,70.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP1,A,2016,43.17
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP1,A,2020,102.74
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP11,A,2016,43.66
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP11,A,2020,309.47
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP111,A,2020,268.19
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP112,A,2016,85.88
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP112,A,2020,912.54
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP114,A,2016,39.66
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP114,A,2020,165.52
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP12,A,2016,43.23
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP12,A,2020,106.83
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP121,A,2016,43.57
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP121,A,2020,99.17
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP122,A,2016,41.78
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP122,A,2020,106.19
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP123,A,2016,45.61
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP123,A,2020,110.4
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP13,A,2016,40.29
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP13,A,2020,80.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP131,A,2016,40.29
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP131,A,2020,80.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP14,A,2016,43.13
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP14,A,2020,86.68
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP141,A,2016,9.47
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP141,A,2020,32.73
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP143,A,2016,29.38
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP143,A,2020,217.99
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP144,A,2016,23.89
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP144,A,2020,43.63
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP145,A,2016,35.92
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP145,A,2020,60.79
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP146,A,2016,57.17
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP146,A,2020,93.92
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP147,A,2016,43.18
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP147,A,2020,76.26
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP148,A,2016,57.16
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP148,A,2020,62.63
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP149,A,2016,57.13
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,PROFESSIONS,KP149,A,2020,151.2
